Protein,GN,Species
Q9UQF0,ERVW-1,Homo sapiens
Q0VAF6,SYCN,Homo sapiens
Q9HA47,UCK1,Homo sapiens
O14994,SYN3,Homo sapiens
Q5R387,PLA2G2C,Homo sapiens
Q8IYS1,PM20D2,Homo sapiens
C9JFL3,PHGR1,Homo sapiens
Q6UW63,POGLUT2,Homo sapiens
Q9NV39,PRR34,Homo sapiens
Q7RTY3,PRSS45P,Homo sapiens
O60810,PRAMEF4,Homo sapiens
Q96KF2,PRAC1,Homo sapiens
O43900,PRICKLE3,Homo sapiens
O43930,PRKY,Homo sapiens
O75864,PPP1R37,Homo sapiens
O15355,PPM1G,Homo sapiens
O75626,PRDM1,Homo sapiens
Q8TCE9,LGALS14,Homo sapiens
Q6GMV3,PTRHD1,Homo sapiens
Q9Y2R2,PTPN22,Homo sapiens
Q4JDL3,PTPN20,Homo sapiens
P11686,SFTPC,Homo sapiens
P98179,RBM3,Homo sapiens
Q7LG56,RRM2B,Homo sapiens
Q9UFD9,RIMBP3,Homo sapiens
Q6NTF9,RHBDD2,Homo sapiens
Q9BYZ8,REG4,Homo sapiens
P05451,REG1A,Homo sapiens
Q6ZWI9,RFPL4B,Homo sapiens
Q6P4F7,ARHGAP11A,Homo sapiens
A6NLU0,RFPL4A,Homo sapiens
Q8WXF3,RLN3,Homo sapiens
Q14690,PDCD11,Homo sapiens
Q9NQG5,RPRD1B,Homo sapiens
P60866,RPS20,Homo sapiens
Q92541,RTF1,Homo sapiens
Q8WXG8,S100Z,Homo sapiens
Q9BWD3,RTL8A,Homo sapiens
A4IF30,SLC35F4,Homo sapiens
Q8WWT9,SLC13A3,Homo sapiens
Q6PIS1,SLC23A3,Homo sapiens
Q8WXA3,RUFY2,Homo sapiens
Q96AG3,SLC25A46,Homo sapiens
Q8IZ73,RPUSD2,Homo sapiens
P82909,MRPS36,Homo sapiens
Q8N2Y8,RUSC2,Homo sapiens
Q96JW4,SLC41A2,Homo sapiens
Q9NUM3,SLC39A9,Homo sapiens
Q6UXD7,SLC49A3,Homo sapiens
Q8N2U9,SLC66A2,Homo sapiens
Q96GQ5,RUSF1,Homo sapiens
Q5VXD3,SAMD13,Homo sapiens
Q9NQ03,SCRT2,Homo sapiens
A0A286YEV6,SCYGR4,Homo sapiens
Q8N6K7,SAMD3,Homo sapiens
Q2M3M2,SLC5A9,Homo sapiens
Q9BW04,SARG,Homo sapiens
Q9NQ36,SCUBE2,Homo sapiens
Q96KG9,SCYL1,Homo sapiens
Q9Y345,SLC6A5,Homo sapiens
P34741,SDC2,Homo sapiens
O95025,SEMA3D,Homo sapiens
Q8WTS6,SETD7,Homo sapiens
Q99985,SEMA3C,Homo sapiens
Q9H2E6,SEMA6A,Homo sapiens
O76038,SCGN,Homo sapiens
O75326,SEMA7A,Homo sapiens
Q9H9S3,SEC61A2,Homo sapiens
Q99719,SEPTIN5,Homo sapiens
Q16181,SEPTIN7,Homo sapiens
Q13435,SF3B2,Homo sapiens
Q9NY99,SNTG2,Homo sapiens
Q9Y5W7,SNX14,Homo sapiens
Q9H5Y7,SLITRK6,Homo sapiens
Q96I25,RBM17,Homo sapiens
A6NHP3,SPDYE2B,Homo sapiens
O94933,SLITRK3,Homo sapiens
A0A0B4J2F2,SIK1B,Homo sapiens
Q9BSE5,AGMAT,Homo sapiens
Q9HAJ7,SAP30L,Homo sapiens
Q9BZZ2,SIGLEC1,Homo sapiens
Q9BVH7,ST6GALNAC5,Homo sapiens
Q8IVB4,SLC9A9,Homo sapiens
Q07889,SOS1,Homo sapiens
Q8ND83,SLAIN1,Homo sapiens
P55822,SH3BGR,Homo sapiens
O75368,SH3BGRL,Homo sapiens
Q15464,SHB,Homo sapiens
Q56A73,SPIN4,Homo sapiens
A6NKW6,SHISAL2B,Homo sapiens
O75264,SMIM24,Homo sapiens
Q71RC9,SMIM5,Homo sapiens
P84550,SKOR1,Homo sapiens
O43765,SGTA,Homo sapiens
P62318,SNRPD3,Homo sapiens
A0A1B0GVT2,SMIM36,Homo sapiens
Q2VWA4,SKOR2,Homo sapiens
Q96QK8,SMIM14,Homo sapiens
Q9P2F5,STOX2,Homo sapiens
P02814,SMR3B,Homo sapiens
Q96EB6,SIRT1,Homo sapiens
Q5T0L3,SPATA46,Homo sapiens
Q9UKE5,TNIK,Homo sapiens
Q14849,STARD3,Homo sapiens
O94875,SORBS2,Homo sapiens
Q14714,SSPN,Homo sapiens
O60499,STX10,Homo sapiens
P04278,SHBG,Homo sapiens
Q8N4C7,STX19,Homo sapiens
Q9BXU1,STK31,Homo sapiens
O00506,STK25,Homo sapiens
Q05066,SRY,Homo sapiens
P78362,SRPK2,Homo sapiens
Q9Y6N5,SQOR,Homo sapiens
A8MYJ7,TTC34,Homo sapiens
Q687X5,STEAP4,Homo sapiens
P08240,SRPRA,Homo sapiens
Q8N4P2,TTC30B,Homo sapiens
Q8TCD6,PHOSPHO2,Homo sapiens
O15496,PLA2G10,Homo sapiens
Q9NRX1,PNO1,Homo sapiens
O43808,SLC25A17,Homo sapiens
A6NI47,POTEM,Homo sapiens
Q6S5H5,POTEG,Homo sapiens
P60900,PSMA6,Homo sapiens
O43395,PRPF3,Homo sapiens
E7EW31,PROB1,Homo sapiens
P16885,PLCG2,Homo sapiens
P53041,PPP5C,Homo sapiens
Q5VWM5,PRAMEF9,Homo sapiens
P28065,PSMB9,Homo sapiens
P49593,PPM1F,Homo sapiens
E9PB15,PTGES3L,Homo sapiens
Q6ZW05,PTCHD4,Homo sapiens
Q9BQI7,PSD2,Homo sapiens
O00233,PSMD9,Homo sapiens
P62888,RPL30,Homo sapiens
Q6PCB5,RSBN1L,Homo sapiens
Q9Y5M8,SRPRB,Homo sapiens
P57060,RWDD2B,Homo sapiens
P58743,SLC26A5,Homo sapiens
Q9HBX9,RXFP1,Homo sapiens
Q6P1M0,SLC27A4,Homo sapiens
Q9BXY4,RSPO3,Homo sapiens
Q8IY50,SLC35F3,Homo sapiens
O75751,SLC22A3,Homo sapiens
Q8TCC7,SLC22A8,Homo sapiens
O15235,MRPS12,Homo sapiens
Q9HCY8,S100A14,Homo sapiens
P41440,SLC19A1,Homo sapiens
Q9NZ71,RTEL1,Homo sapiens
Q92552,MRPS27,Homo sapiens
Q9BRY0,SLC39A3,Homo sapiens
Q96E40,SPACA9,Homo sapiens
Q5BKX6,SLC45A4,Homo sapiens
Q9HBV2,SPACA1,Homo sapiens
Q5TGI4,SAMD5,Homo sapiens
P31639,SLC5A2,Homo sapiens
Q92911,SLC5A5,Homo sapiens
Q1EHB4,SLC5A12,Homo sapiens
Q86TU7,SETD3,Homo sapiens
Q86SQ7,SDCCAG8,Homo sapiens
Q9H3T2,SEMA6C,Homo sapiens
O75056,SDC3,Homo sapiens
Q96HF1,SFRP2,Homo sapiens
Q96P15,SERPINB11,Homo sapiens
Q9BWV2,SPATA9,Homo sapiens
Q96P63,SERPINB12,Homo sapiens
P29508,SERPINB3,Homo sapiens
Q9NRH2,SNRK,Homo sapiens
Q92187,ST8SIA4,Homo sapiens
Q96T83,SLC9A7,Homo sapiens
P48436,SOX9,Homo sapiens
P35711,SOX5,Homo sapiens
Q9Y5K1,SPO11,Homo sapiens
Q99963,SH3GL3,Homo sapiens
Q5TAH2,SLC9C2,Homo sapiens
Q9H9B4,SFXN1,Homo sapiens
Q13796,SHROOM2,Homo sapiens
Q9BVW6,SMIM2,Homo sapiens
O75182,SIN3B,Homo sapiens
O60225,SSX5,Homo sapiens
Q9BX66,SORBS1,Homo sapiens
O15270,SPTLC2,Homo sapiens
Q12846,STX4,Homo sapiens
Q9UPX0,IGSF9B,Homo sapiens
Q7Z6I5,SPATA12,Homo sapiens
H3BQB6,STMND1,Homo sapiens
Q96A44,SPSB4,Homo sapiens
Q16629,SRSF7,Homo sapiens
Q8IWZ8,SUGP1,Homo sapiens
Q8TDW5,SYTL5,Homo sapiens
Q9HCH5,SYTL2,Homo sapiens
P54136,RARS1,Homo sapiens
P21731,TBXA2R,Homo sapiens
Q8N9U0,TC2N,Homo sapiens
O95759,TBC1D8,Homo sapiens
P59535,TAS2R40,Homo sapiens
Q9HAI6,TASL,Homo sapiens
P28328,PEX2,Homo sapiens
Q9H875,PRKRIP1,Homo sapiens
Q5VU65,NUP210L,Homo sapiens
Q9H606,PRORY,Homo sapiens
Q9NS91,RAD18,Homo sapiens
Q8IZV5,RDH10,Homo sapiens
P52756,RBM5,Homo sapiens
P38159,RBMX,Homo sapiens
Q15311,RALBP1,Homo sapiens
Q7Z3Z2,RD3,Homo sapiens
Q9Y3Y4,PYGO1,Homo sapiens
P63000,RAC1,Homo sapiens
Q8IZP6,RNF113B,Homo sapiens
Q15109,AGER,Homo sapiens
Q86SE5,RALYL,Homo sapiens
Q13636,RAB31,Homo sapiens
Q9ULW5,RAB26,Homo sapiens
P09455,RBP1,Homo sapiens
O14921,RGS13,Homo sapiens
O14924,RGS12,Homo sapiens
P49796,RGS3,Homo sapiens
Q8IUF8,RIOX2,Homo sapiens
Q33E94,RFX4,Homo sapiens
Q9P015,MRPL15,Homo sapiens
Q6P161,MRPL54,Homo sapiens
Q8N122,RPTOR,Homo sapiens
P78381,SLC35A2,Homo sapiens
Q9BUV0,RSRP1,Homo sapiens
P04271,S100B,Homo sapiens
Q9Y666,SLC12A7,Homo sapiens
O43304,SEC14L5,Homo sapiens
Q9NVS2,MRPS18A,Homo sapiens
Q96BN2,TADA1,Homo sapiens
Q6NT16,SLC18B1,Homo sapiens
Q9UN76,SLC6A14,Homo sapiens
Q8WWV3,RTN4IP1,Homo sapiens
Q96GZ6,SLC41A3,Homo sapiens
Q2Y0W8,SLC4A8,Homo sapiens
Q14108,SCARB2,Homo sapiens
Q9UBE0,SAE1,Homo sapiens
O95171,SCEL,Homo sapiens
P09683,SCT,Homo sapiens
O75845,SC5D,Homo sapiens
Q8N4B1,PHETA1,Homo sapiens
Q99442,SEC62,Homo sapiens
Q6ICB4,PHETA2,Homo sapiens
Q8WWX9,SELENOM,Homo sapiens
P35499,SCN4A,Homo sapiens
Q6AZY7,SCARA3,Homo sapiens
Q8NBX0,SCCPDH,Homo sapiens
Q8N9R8,SCAI,Homo sapiens
A6NLX3,SPDYE4,Homo sapiens
Q6UX34,SNORC,Homo sapiens
Q96DI7,SNRNP40,Homo sapiens
Q9P2F8,SIPA1L2,Homo sapiens
Q9P0W8,SPATA7,Homo sapiens
A7XYQ1,SOBP,Homo sapiens
Q8IW75,SERPINA12,Homo sapiens
P30825,SLC7A1,Homo sapiens
Q9NRG4,SMYD2,Homo sapiens
Q99523,SORT1,Homo sapiens
Q8NEM7,SUPT20H,Homo sapiens
Q96LD1,SGCZ,Homo sapiens
Q5JXA9,SIRPB2,Homo sapiens
P0DMW5,SMIM10L2B,Homo sapiens
P0DKX4,SMIM18,Homo sapiens
Q8N6T7,SIRT6,Homo sapiens
Q8N5G0,SMIM20,Homo sapiens
Q6P435,,Homo sapiens
O43541,SMAD6,Homo sapiens
Q9BXA5,SUCNR1,Homo sapiens
O43704,SULT1B1,Homo sapiens
Q96N06,SPATA33,Homo sapiens
P11277,SPTB,Homo sapiens
Q6ZRS2,SRCAP,Homo sapiens
A6NGW2,STRCP1,Homo sapiens
P51649,ALDH5A1,Homo sapiens
Q9H254,SPTBN4,Homo sapiens
Q9P289,STK26,Homo sapiens
Q15526,SURF1,Homo sapiens
Q8TB22,SPATA20,Homo sapiens
Q7Z699,SPRED1,Homo sapiens
Q96N96,SPATA13,Homo sapiens
A2A2V5,SERTM1,Homo sapiens
P04731,MT1A,Homo sapiens
A6NJZ3,OR6C65,Homo sapiens
Q8NH01,OR2T11,Homo sapiens
O14841,OPLAH,Homo sapiens
Q7RTV0,PHF5A,Homo sapiens
P00439,PAH,Homo sapiens
P15735,PHKG2,Homo sapiens
Q9UKI9,POU2F3,Homo sapiens
O15031,PLXNB2,Homo sapiens
Q9HCM2,PLXNA4,Homo sapiens
P14923,JUP,Homo sapiens
Q99633,PRPF18,Homo sapiens
Q8TB68,PRR7,Homo sapiens
Q00577,PURA,Homo sapiens
P30566,ADSL,Homo sapiens
Q5H9M0,PWWP3B,Homo sapiens
A8MT19,RHPN2P1,Homo sapiens
P20339,RAB5A,Homo sapiens
P23921,RRM1,Homo sapiens
Q7L0Q8,RHOU,Homo sapiens
Q9HBH0,RHOF,Homo sapiens
P02753,RBP4,Homo sapiens
O15539,RGS5,Homo sapiens
Q96A58,RERG,Homo sapiens
O95153,TSPOAP1,Homo sapiens
Q86VR2,RETREG3,Homo sapiens
O94844,RHOBTB1,Homo sapiens
Q9H0H5,RACGAP1,Homo sapiens
Q9C0H5,ARHGAP39,Homo sapiens
Q6ZWK4,RHEX,Homo sapiens
Q92546,RGP1,Homo sapiens
Q6PCD5,RFWD3,Homo sapiens
Q99666,RGPD5,Homo sapiens
A0A1B0GV85,REELD1,Homo sapiens
P0DJD0,RGPD1,Homo sapiens
Q04864,REL,Homo sapiens
Q9H871,RMND5A,Homo sapiens
Q9NTX7,RNF146,Homo sapiens
Q9H777,ELAC1,Homo sapiens
Q8WU17,RNF139,Homo sapiens
Q8N4F7,RNF175,Homo sapiens
Q9Y6S9,RPS6KL1,Homo sapiens
Q5TBB1,RNASEH2B,Homo sapiens
A6NIE6,RRN3P2,Homo sapiens
Q03395,ROM1,Homo sapiens
Q9P0M9,MRPL27,Homo sapiens
Q96A35,MRPL24,Homo sapiens
Q9Y2Y1,POLR3K,Homo sapiens
P56182,RRP1,Homo sapiens
Q9H446,RWDD1,Homo sapiens
P0C874,SPATA31D3,Homo sapiens
Q15404,RSU1,Homo sapiens
P08621,SNRNP70,Homo sapiens
A0AV02,SLC12A8,Homo sapiens
Q9UDX4,SEC14L3,Homo sapiens
Q9Y6Y8,SEC23IP,Homo sapiens
Q9UHI7,SLC23A1,Homo sapiens
Q7L099,RUFY3,Homo sapiens
Q9UHA2,SS18L2,Homo sapiens
Q8TCU3,SLC7A13,Homo sapiens
Q96N87,SLC6A18,Homo sapiens
P82673,MRPS35,Homo sapiens
Q08AI6,SLC38A11,Homo sapiens
Q9HBR0,SLC38A10,Homo sapiens
Q9NP59,SLC40A1,Homo sapiens
O00767,SCD,Homo sapiens
Q8WVM8,SCFD1,Homo sapiens
Q9BWW7,SCRT1,Homo sapiens
Q70HW3,SLC25A26,Homo sapiens
P21583,KITLG,Homo sapiens
Q9Y6B6,SAR1B,Homo sapiens
Q9Y289,SLC5A6,Homo sapiens
Q9NRX5,SERINC1,Homo sapiens
Q9Y4P9,SPEF1,Homo sapiens
P51170,SCNN1G,Homo sapiens
Q9UJQ7,SCP2D1,Homo sapiens
P18583,SON,Homo sapiens
Q8NFV5,SPDYE1,Homo sapiens
Q9NWH7,SPATA6,Homo sapiens
P48595,SERPINB10,Homo sapiens
P46721,SLCO1A2,Homo sapiens
Q9HBX3,SND1-IT1,Homo sapiens
O15079,SNPH,Homo sapiens
Q7Z7L1,SLFN11,Homo sapiens
Q02446,SP4,Homo sapiens
Q8IUW3,SPATA2L,Homo sapiens
A8MU46,SMTNL1,Homo sapiens
Q9NSC7,ST6GALNAC1,Homo sapiens
Q12872,SFSWAP,Homo sapiens
Q147U7,SMCO1,Homo sapiens
Q9HB58,SP110,Homo sapiens
Q6UDR6,SPINT4,Homo sapiens
Q92629,SGCD,Homo sapiens
Q5TFQ8,SIRPB1,Homo sapiens
Q8ND04,SMG8,Homo sapiens
O95968,SCGB1D1,Homo sapiens
P0DJ93,SMIM13,Homo sapiens
A0A286YFK9,SMIM38,Homo sapiens
Q9NTJ3,SMC4,Homo sapiens
Q8WUJ0,STYX,Homo sapiens
Q8NDV7,TNRC6A,Homo sapiens
A6NGA9,TMEM202,Homo sapiens
Q15532,SS18,Homo sapiens
Q9HAC7,SUGCT,Homo sapiens
Q14247,CTTN,Homo sapiens
Q86TD4,SRL,Homo sapiens
Q13033,STRN3,Homo sapiens
Q92502,STARD8,Homo sapiens
P02808,STATH,Homo sapiens
P22532,SPRR2D,Homo sapiens
Q8NHS9,SPATA22,Homo sapiens
A0A1B0GWG4,SERTM2,Homo sapiens
Q9NSE4,IARS2,Homo sapiens
Q9NQP4,PFDN4,Homo sapiens
P56645,PER3,Homo sapiens
Q6UXB8,PI16,Homo sapiens
P48426,PIP4K2A,Homo sapiens
Q8IYJ0,PIANP,Homo sapiens
Q9ULL4,PLXNB3,Homo sapiens
Q8WYR1,PIK3R5,Homo sapiens
Q9UL41,PNMA3,Homo sapiens
Q9NVS9,PNPO,Homo sapiens
O95427,PIGN,Homo sapiens
O43490,PROM1,Homo sapiens
Q13972,RASGRF1,Homo sapiens
P62906,RPL10A,Homo sapiens
P62861,FAU,Homo sapiens
P42677,RPS27,Homo sapiens
Q7L4I2,RSRC2,Homo sapiens
P21817,RYR1,Homo sapiens
Q76EJ3,SLC35D2,Homo sapiens
Q8NET4,RTL9,Homo sapiens
P29377,S100G,Homo sapiens
O75298,RTN2,Homo sapiens
Q86SG5,S100A7A,Homo sapiens
O15244,SLC22A2,Homo sapiens
Q8IZD6,SLC22A15,Homo sapiens
B5MCN3,SEC14L6,Homo sapiens
Q13183,SLC13A2,Homo sapiens
Q92622,RUBCN,Homo sapiens
Q8IY34,SLC15A3,Homo sapiens
Q9Y3D5,MRPS18C,Homo sapiens
Q9BYT1,SLC17A9,Homo sapiens
Q6T423,SLC22A25,Homo sapiens
P48065,SLC6A12,Homo sapiens
Q6U841,SLC4A10,Homo sapiens
Q8TF17,SH3TC2,Homo sapiens
Q8NBS3,SLC4A11,Homo sapiens
Q9NR31,SAR1A,Homo sapiens
P53992,SEC24C,Homo sapiens
O95486,SEC24A,Homo sapiens
Q7Z3H4,SAMD7,Homo sapiens
O00422,SAP18,Homo sapiens
P60468,SEC61B,Homo sapiens
A0PJK1,SLC5A10,Homo sapiens
Q8WWX8,SLC5A11,Homo sapiens
Q52WX2,SBK1,Homo sapiens
Q9NRP4,SDHAF3,Homo sapiens
Q96T68,SETDB2,Homo sapiens
Q6R2W3,ZBED9,Homo sapiens
Q15427,SF3B4,Homo sapiens
Q07837,SLC3A1,Homo sapiens
Q8NBJ9,SIDT2,Homo sapiens
A1X283,SH3PXD2B,Homo sapiens
Q9GZT3,SLIRP,Homo sapiens
P01242,GH2,Homo sapiens
O43759,SYNGR1,Homo sapiens
Q5TCZ1,SH3PXD2A,Homo sapiens
Q76KD6,SPATC1,Homo sapiens
P19623,SRM,Homo sapiens
Q8WY21,SORCS1,Homo sapiens
Q9NRY2,INIP,Homo sapiens
P53814,SMTN,Homo sapiens
O15466,ST8SIA5,Homo sapiens
Q9HAU4,SMURF2,Homo sapiens
Q9NRC8,SIRT7,Homo sapiens
P08047,SP1,Homo sapiens
Q6UW10,SFTA2,Homo sapiens
Q4G0N8,SLC9C1,Homo sapiens
Q8WVK7,SKA2,Homo sapiens
Q8IYR2,SMYD4,Homo sapiens
Q9P270,SLAIN2,Homo sapiens
Q15796,SMAD2,Homo sapiens
Q9BSF0,C2orf88,Homo sapiens
Q3SXP7,SHISAL1,Homo sapiens
Q5VYV7,SLX4IP,Homo sapiens
Q7Z4S9,SH2D6,Homo sapiens
Q9UPR3,SMG5,Homo sapiens
Q5SNT2,TMEM201,Homo sapiens
P09430,TNP1,Homo sapiens
Q86UX6,STK32C,Homo sapiens
P42229,STAT5A,Homo sapiens
Q9C0H2,TTYH3,Homo sapiens
Q8N2I9,STK40,Homo sapiens
Q9UPE1,SRPK3,Homo sapiens
Q9UHE8,STEAP1,Homo sapiens
Q9UEW8,STK39,Homo sapiens
Q86WT1,TTC30A,Homo sapiens
Q13043,STK4,Homo sapiens
P78539,SRPX,Homo sapiens
A6NLP5,TTC36,Homo sapiens
Q9UGT4,SUSD2,Homo sapiens
Q06330,RBPJ,Homo sapiens
Q8IX01,SUGP2,Homo sapiens
Q8TCT8,SPPL2A,Homo sapiens
P49589,CARS1,Homo sapiens
Q8TBG9,SYNPR,Homo sapiens
O43776,NARS1,Homo sapiens
Q9NU19,TBC1D22B,Homo sapiens
P49848,TAF6,Homo sapiens
Q17R31,TATDN3,Homo sapiens
Q9NYJ8,TAB2,Homo sapiens
O75157,TSC22D2,Homo sapiens
Q9UKN8,GTF3C4,Homo sapiens
P36639,NUDT1,Homo sapiens
Q676U5,ATG16L1,Homo sapiens
P20848,SERPINA2,Homo sapiens
P08912,CHRM5,Homo sapiens
Q9Y312,AAR2,Homo sapiens
P28223,HTR2A,Homo sapiens
Q5QJU3,ACER2,Homo sapiens
P28221,HTR1D,Homo sapiens
Q6P4H8,ATPSCKMT,Homo sapiens
C9JRZ8,AKR1B15,Homo sapiens
Q9Y4X0,AMMECR1,Homo sapiens
P55789,GFER,Homo sapiens
Q8NER5,ACVR1C,Homo sapiens
Q7Z6V5,ADAT2,Homo sapiens
Q9BY15,ADGRE3,Homo sapiens
Q96QF7,GCNA,Homo sapiens
P10398,ARAF,Homo sapiens
A8MVX0,ARHGEF33,Homo sapiens
P12235,SLC25A4,Homo sapiens
O95704,APBB3,Homo sapiens
Q6T311,ARL9,Homo sapiens
P36405,ARL3,Homo sapiens
Q86W34,AMZ2,Homo sapiens
A6NFN9,ANKUB1,Homo sapiens
Q9ULZ1,APLN,Homo sapiens
P53680,AP2S1,Homo sapiens
Q9NUS5,AP5S1,Homo sapiens
Q92625,ANKS1A,Homo sapiens
P10275,AR,Homo sapiens
Q9Y5C1,ANGPTL3,Homo sapiens
P0DTE8,AMY1C,Homo sapiens
O95500,CLDN14,Homo sapiens
Q8NB49,ATP11C,Homo sapiens
O60909,B4GALT2,Homo sapiens
P54687,BCAT1,Homo sapiens
Q9NUG4,CCM2L,Homo sapiens
Q6UXS9,CASP12,Homo sapiens
Q9UFE4,CCDC39,Homo sapiens
Q9P0B6,CCDC167,Homo sapiens
A0A0D9SF12,CCDC163,Homo sapiens
P61604,HSPE1,Homo sapiens
Q9H246,C1orf21,Homo sapiens
Q96NL8,C8orf37,Homo sapiens
Q8IZV2,CMTM8,Homo sapiens
Q8TCG1,CIP2A,Homo sapiens
Q9NSA3,CTNNBIP1,Homo sapiens
O75838,CIB2,Homo sapiens
Q5BKX5,C19orf54,Homo sapiens
Q6ZW13,C16orf86,Homo sapiens
Q2VPA4,CR1L,Homo sapiens
Q7Z7G2,CPLX4,Homo sapiens
P20023,CR2,Homo sapiens
Q9BU40,CHRDL1,Homo sapiens
Q02928,CYP4A11,Homo sapiens
Q96D31,ORAI1,Homo sapiens
O14579,COPE,Homo sapiens
Q9UP83,COG5,Homo sapiens
P28325,CST5,Homo sapiens
O60716,CTNND1,Homo sapiens
P24310,COX7A1,Homo sapiens
A1L168,C20orf202,Homo sapiens
Q8N144,GJD3,Homo sapiens
Q8NI51,CTCFL,Homo sapiens
Q9H1P6,C20orf85,Homo sapiens
Q16619,CTF1,Homo sapiens
Q8WVB6,CHTF18,Homo sapiens
P59091,LINC00315,Homo sapiens
O43927,CXCL13,Homo sapiens
O14625,CXCL11,Homo sapiens
O00399,DCTN6,Homo sapiens
Q9Y2R4,DDX52,Homo sapiens
Q9UMR2,DDX19B,Homo sapiens
O75398,DEAF1,Homo sapiens
Q9H6A0,DENND2D,Homo sapiens
O75553,DAB1,Homo sapiens
Q9UN19,DAPP1,Homo sapiens
P0DP73,DEFB130B,Homo sapiens
P17707,AMD1,Homo sapiens
A0PJW8,DAPL1,Homo sapiens
Q6ZS02,DNM1P46,Homo sapiens
Q96LJ7,DHRS1,Homo sapiens
P09622,DLD,Homo sapiens
Q8IY37,DHX37,Homo sapiens
Q07687,DLX2,Homo sapiens
Q969H9,DIRC1,Homo sapiens
Q96HU8,DIRAS2,Homo sapiens
Q9NZJ5,EIF2AK3,Homo sapiens
Q9NP87,POLM,Homo sapiens
Q9BZQ6,EDEM3,Homo sapiens
Q7L591,DOK3,Homo sapiens
Q8NF50,DOCK8,Homo sapiens
Q9BZ29,DOCK9,Homo sapiens
Q8IYY4,DZIP1L,Homo sapiens
Q8NBA8,DTWD2,Homo sapiens
Q8N9I9,DTX3,Homo sapiens
Q7L190,DPPA4,Homo sapiens
O75923,DYSF,Homo sapiens
P35462,DRD3,Homo sapiens
Q96G46,DUS3L,Homo sapiens
Q9H596,DUSP21,Homo sapiens
Q8WTR2,DUSP19,Homo sapiens
O95147,DUSP14,Homo sapiens
P28562,DUSP1,Homo sapiens
Q05923,DUSP2,Homo sapiens
O75388,GPR32,Homo sapiens
Q32P44,EML3,Homo sapiens
Q9UPC5,GPR34,Homo sapiens
Q9HC97,GPR35,Homo sapiens
O15354,GPR37,Homo sapiens
O43194,GPR39,Homo sapiens
Q96IK5,GMCL1,Homo sapiens
P46089,GPR3,Homo sapiens
P50148,GNAQ,Homo sapiens
Q8NEA9,GMCL2,Homo sapiens
Q9P107,GMIP,Homo sapiens
O15529,GPR42,Homo sapiens
Q9Y5Y3,GPR45,Homo sapiens
Q99445,GML,Homo sapiens
O60547,GMDS,Homo sapiens
Q5JWF2,GNAS,Homo sapiens
P46093,GPR4,Homo sapiens
Q5T6L9,ERMARD,Homo sapiens
Q9Y2T5,GPR52,Homo sapiens
Q9UKD1,GMEB2,Homo sapiens
Q9Y2T6,GPR55,Homo sapiens
P60983,GMFB,Homo sapiens
Q5UCC4,EMC10,Homo sapiens
Q9BZJ8,GPR61,Homo sapiens
O60234,GMFG,Homo sapiens
Q8N4V1,MMGT1,Homo sapiens
P05091,ALDH2,Homo sapiens
Q8NHS2,GOT1L1,Homo sapiens
P12821,ACE,Homo sapiens
Q9NVV5,AIG1,Homo sapiens
Q9BXJ7,AMN,Homo sapiens
P18089,ADRA2B,Homo sapiens
O43306,ADCY6,Homo sapiens
Q86SQ3,ADGRE4P,Homo sapiens
Q16186,ADRM1,Homo sapiens
O95154,AKR7A3,Homo sapiens
Q9BXX2,ANKRD30B,Homo sapiens
Q32M45,ANO4,Homo sapiens
Q7LC44,ARC,Homo sapiens
Q96KC2,ARL5B,Homo sapiens
Q6UW56,ATRAID,Homo sapiens
O94823,ATP10B,Homo sapiens
P18850,ATF6,Homo sapiens
Q8WUQ7,CACTIN,Homo sapiens
Q8IWA6,CCDC60,Homo sapiens
O60359,CACNG3,Homo sapiens
P13994,CCDC130,Homo sapiens
Q05682,CALD1,Homo sapiens
P0DP24,CALM2,Homo sapiens
P60827,C1QTNF8,Homo sapiens
Q8TAB5,C1orf216,Homo sapiens
P57796,CABP4,Homo sapiens
O75052,NOS1AP,Homo sapiens
O95180,CACNA1H,Homo sapiens
Q08289,CACNB2,Homo sapiens
P33151,CDH5,Homo sapiens
O43570,CA12,Homo sapiens
Q15782,CHI3L2,Homo sapiens
P08962,CD63,Homo sapiens
P36222,CHI3L1,Homo sapiens
Q9UKY7,CDV3,Homo sapiens
P11912,CD79A,Homo sapiens
Q2WEN9,CEACAM16,Homo sapiens
P0DMB2,C8orf88,Homo sapiens
Q9UFW8,CGGBP1,Homo sapiens
Q14839,CHD4,Homo sapiens
P19835,CEL,Homo sapiens
Q9C0I3,CCSER1,Homo sapiens
Q9H7U1,CCSER2,Homo sapiens
Q8IZR5,CMTM4,Homo sapiens
Q96KP4,CNDP2,Homo sapiens
Q99967,CITED2,Homo sapiens
Q99439,CNN2,Homo sapiens
O95484,CLDN9,Homo sapiens
Q6ZR85,C17orf107,Homo sapiens
Q8IYJ1,CPNE9,Homo sapiens
P05108,CYP11A1,Homo sapiens
Q03060,CREM,Homo sapiens
A0A087X1C5,CYP2D7,Homo sapiens
P41214,EIF2D,Homo sapiens
Q658K8,EEF1DP3,Homo sapiens
Q9BTA0,FAM167B,Homo sapiens
Q96KS9,FAM167A,Homo sapiens
Q5XKR9,FAM104B,Homo sapiens
D6RGX4,FAM90A26,Homo sapiens
Q7L8L6,FASTKD5,Homo sapiens
Q6P587,FAHD1,Homo sapiens
